any,municipi,sexe,concepte,estat,valor
2023,Abella de la Conca,homes,població,,87
2023,Abella de la Conca,dones,població,,80
2023,Abella de la Conca,total,població,,167
2023,Abrera,homes,població,,6462
2023,Abrera,dones,població,,6386
2023,Abrera,total,població,,12848
2023,Àger,homes,població,,320
2023,Àger,dones,població,,262
2023,Àger,total,població,,582
2023,Agramunt,homes,població,,2773
2023,Agramunt,dones,població,,2743
2023,Agramunt,total,població,,5516
2023,Aguilar de Segarra,homes,població,,158
2023,Aguilar de Segarra,dones,població,,136
2023,Aguilar de Segarra,total,població,,294
2023,Agullana,homes,població,,455
2023,Agullana,dones,població,,468
2023,Agullana,total,població,,923
2023,Aiguafreda,homes,població,,1242
2023,Aiguafreda,dones,població,,1325
2023,Aiguafreda,total,població,,2567
2023,Aiguamúrcia,homes,població,,506
2023,Aiguamúrcia,dones,població,,468
2023,Aiguamúrcia,total,població,,974
2023,Aiguaviva,homes,població,,384
2023,Aiguaviva,dones,població,,386
2023,Aiguaviva,total,població,,770
2023,Aitona,homes,població,,1349
2023,Aitona,dones,població,,1208
2023,Aitona,total,població,,2557
2023,"Alamús, els",homes,població,,398
2023,"Alamús, els",dones,població,,396
2023,"Alamús, els",total,població,,794
2023,Alàs i Cerc,homes,població,,158
2023,Alàs i Cerc,dones,població,,164
2023,Alàs i Cerc,total,població,,322
2023,"Albagés, l'",homes,població,,189
2023,"Albagés, l'",dones,població,,167
2023,"Albagés, l'",total,població,,356
2023,Albanyà,homes,població,,88
2023,Albanyà,dones,població,,83
2023,Albanyà,total,població,,171
2023,Albatàrrec,homes,població,,1142
2023,Albatàrrec,dones,població,,1096
2023,Albatàrrec,total,població,,2238
2023,Albesa,homes,població,,852
2023,Albesa,dones,població,,736
2023,Albesa,total,població,,1588
2023,"Albi, l'",homes,població,,388
2023,"Albi, l'",dones,població,,376
2023,"Albi, l'",total,població,,764
2023,Albinyana,homes,població,,1362
2023,Albinyana,dones,població,,1304
2023,Albinyana,total,població,,2666
2023,"Albiol, l'",homes,població,,288
2023,"Albiol, l'",dones,població,,247
2023,"Albiol, l'",total,població,,535
2023,Albons,homes,població,,425
2023,Albons,dones,població,,394
2023,Albons,total,població,,819
2023,Alcanar,homes,població,,4965
2023,Alcanar,dones,població,,4862
2023,Alcanar,total,població,,9827
2023,Alcanó,homes,població,,123
2023,Alcanó,dones,població,,120
2023,Alcanó,total,població,,243
2023,Alcarràs,homes,població,,5071
2023,Alcarràs,dones,població,,4716
2023,Alcarràs,total,població,,9787
2023,Alcoletge,homes,població,,1863
2023,Alcoletge,dones,població,,1632
2023,Alcoletge,total,població,,3495
2023,Alcover,homes,població,,2614
2023,Alcover,dones,població,,2664
2023,Alcover,total,població,,5278
2023,"Aldea, l'",homes,població,,2402
