Codi INE,Municipi,Comarca,Domèstic Xarxa 2023,Activitats Econòmiques 2023,Total 2023
25001,ABELLA DE LA CONCA,"PALLARS JUSSÀ, EL        ",7020,44571,51591
08001,ABRERA,"BAIX LLOBREGAT, EL       ",544827,470060,1014887
25002,AGER,"NOGUERA, LA              ",25586,66657,92243
25003,AGRAMUNT,"URGELL, L'               ",211179,172692,383871
08002,AGUILAR DE SEGARRA,"BAGES, EL                ",12192,256,12448
17001,AGULLANA,"ALT EMPORDÀ, L'          ",33507,4090,37597
08014,AIGUAFREDA,"VALLÈS ORIENTAL, EL      ",100212,22878,123090
43001,AIGUAMURCIA,"ALT CAMP, L'             ",52609,61618,114227
17002,AIGUAVIVA,"GIRONÈS, EL     ",23108,152214,175322
25038,AITONA,"SEGRIÀ, EL               ",91479,34819,126298
25004,"ALAMUS, ELS","SEGRIÀ, EL               ",29230,8846,38076
25005,ALAS I CERC,"ALT URGELL, L'           ",23265,5943,29208
25006,"ALBAGES, L'","GARRIGUES, LES           ",13029,15713,28742
17003,ALBANYA,"ALT EMPORDÀ, L'          ",3343,14806,18149
25007,ALBATARREC,"SEGRIÀ, EL               ",80843,43632,124475
25008,ALBESA,"NOGUERA, LA              ",63078,25142,88220
25009,"ALBI, L'","GARRIGUES, LES           ",22329,2445,24774
43002,ALBINYANA,"BAIX PENEDÈS, EL         ",132810,49599,182409
43003,"ALBIOL, L'","BAIX CAMP, EL            ",18793,263,19056
17004,ALBONS,"BAIX EMPORDÀ, EL         ",50196,21507,71703
43004,ALCANAR,"MONTSIÀ, EL              ",451225,472913,924138
25010,ALCANO,"SEGRIÀ, EL               ",9765,493,10258
25011,ALCARRAS,"SEGRIÀ, EL               ",494185,93082,587267
25012,ALCOLETGE,"SEGRIÀ, EL               ",96736,76228,172964
43005,ALCOVER,"ALT CAMP, L'             ",172150,378468,550618
43904,"ALDEA, L'","BAIX EBRE, EL            ",122088,167723,289811
43006,ALDOVER,"BAIX EBRE, EL            ",42990,1512,44502
43007,"ALEIXAR, L'","BAIX CAMP, EL            ",30819,858,31677
08003,ALELLA,"MARESME, EL              ",533227,121453,654680
43008,ALFARA DE CARLES,"BAIX EBRE, EL            ",21438,1153,22591
25013,ALFARRAS,"SEGRIÀ, EL               ",111607,23043,134650
25014,ALFES,"SEGRIÀ, EL               ",9817,39305,49122
43009,ALFORJA,"BAIX CAMP, EL            ",67284,11757,79041
25015,ALGERRI,"NOGUERA, LA              ",12295,6687,18982
25016,ALGUAIRE,"SEGRIÀ, EL               ",116398,306988,423386
25017,ALINS,"PALLARS SOBIRÀ, EL       ",46134,17309,63443
43010,ALIO,"ALT CAMP, L'             ",14061,13873,27934
25019,ALMACELLES,"SEGRIÀ, EL               ",271258,175933,447191
25020,ALMATRET,"SEGRIÀ, EL               ",11507,70517,82024
25021,ALMENAR,"SEGRIÀ, EL               ",119444,24158,143602
43011,ALMOSTER,"BAIX CAMP, EL            ",88484,1445,89929
25022,ALOS DE BALAGUER,"NOGUERA, LA              ",18846,540,19386
17006,ALP,"CERDANYA, LA             ",145472,654232,799704
08004,ALPENS,"LLUÇANÈS, EL",11211,4346,15557
25023,ALPICAT,"SEGRIÀ, EL               ",287223,265112,552335
25024,ALT ANEU,"PALLARS SOBIRÀ, EL       ",77760,6330,84090
43012,ALTAFULLA,"TARRAGONÈS, EL           ",380036,106567,486603
17007,AMER,"SELVA, LA                ",79095,176493,255588
43013,"AMETLLA DE MAR, L'","BAIX EBRE, EL            ",650443,227441,877884
08005,"AMETLLA DEL VALLES, L'","VALLÈS ORIENTAL, EL      ",432785,110573,543358
43906,"AMPOLLA, L'","BAIX EBRE, EL            ",267267,132089,399356
43014,AMPOSTA,"MONTSIÀ, EL              ",823385,848396,1671781
17008,ANGLES,"SELVA, LA                ",205946,323100,529046
25027,ANGLESOLA,"URGELL, L'               ",52364,38365,90729
25029,ARBECA,"GARRIGUES, LES           ",67830,108638,176468
43016,"ARBOÇ, L'","BAIX PENEDÈS, EL         ",195138,220076,415214
43015,ARBOLI,"BAIX CAMP, EL            ",3871,674,4545
17009,ARBUCIES,"SELVA, LA                ",247599,914119,1161718
08006,ARENYS DE MAR,"MARESME, EL              ",677628,255379,933007
08007,ARENYS DE MUNT,"MARESME, EL              ",460371,142383,602754
17010,ARGELAGUER,"GARROTXA, LA             ",16846,101689,118535
08008,ARGENÇOLA,"ANOIA, L'                ",6033,134,6167
43017,"ARGENTERA, L'","BAIX CAMP, EL            ",6883,892,7775
08009,ARGENTONA,"MARESME, EL              ",547503,244827,792330
17011,"ARMENTERA, L'","ALT EMPORDÀ, L'          ",27707,31757,59464
43018,ARNES,TERRA ALTA               ,21440,28356,49796
25031,ARRES,"VAL D'ARAN, LA           ",2600,144,2744
25032,ARSEGUEL,"ALT URGELL, L'           ",5670,1468,7138
08010,ARTES,"BAGES, EL                ",201262,225149,426411
25033,ARTESA DE LLEIDA,"SEGRIÀ, EL               ",68173,25009,93182
25034,ARTESA DE SEGRE,"NOGUERA, LA              ",129759,162250,292009
43019,ASCO,"RIBERA D'EBRE, LA        ",97092,83644,180736
25036,ASPA,"SEGRIÀ, EL               ",7168,21254,28422
25037,"AVELLANES I SANTA LINYA, LES","NOGUERA, LA              ",22267.2,109676,131943.2
08011,AVIA,"BERGUEDÀ, EL             ",72450,83125,155575
08012,AVINYO,"BAGES, EL                ",72984,304365,377349
17012,AVINYONET DE PUIGVENTOS,"ALT EMPORDÀ, L'          ",67733,15743,83476
08013,AVINYONET DEL PENEDES,"ALT PENEDÈS, L'          ",68742,90130,158872
08015,BADALONA,"BARCELONÈS, EL           ",8110177,1905752,10015929
08904,BADIA DEL VALLES,"VALLÈS OCCIDENTAL, EL    ",397111,83923,481034
08016,BAGA,"BERGUEDÀ, EL             ",70954,20986,91940
25039,BAIX PALLARS,"PALLARS SOBIRÀ, EL       ",40293,3990,44283
25040,BALAGUER,"NOGUERA, LA              ",728094,327872,1055966
08017,BALENYA,OSONA                    ,129448,62656,192104
08018,BALSARENY,"BAGES, EL                ",112710,143711,256421
43020,BANYERES DEL PENEDES,"BAIX PENEDÈS, EL         ",143810,76381,220191
17015,BANYOLES,"PLA DE L'ESTANY, EL      ",891278,869345,1760623
25041,BARBENS,"PLA D'URGELL, EL         ",30951,9430,40381
43021,BARBERA DE LA CONCA,"CONCA DE BARBERÀ, LA     ",23260,27883,51143
08252,BARBERA DEL VALLES,"VALLÈS OCCIDENTAL, EL    ",1259115,943634,2202749
08019,BARCELONA,"BARCELONÈS, EL           ",63401101,33501582,96902683
25042,BARONIA DE RIALB,"NOGUERA, LA              ",4750,50825,55575
17016,BASCARA,"ALT EMPORDÀ, L'          ",38869,10508,49377
25044,BASSELLA,"ALT URGELL, L'           ",6611,94315,100926
43022,BATEA,TERRA ALTA               ,51852,32366,84218
25045,BAUSEN,"VAL D'ARAN, LA           ",6660,432,7092
08020,BEGUES,"BAIX LLOBREGAT, EL       ",334775,55121,389896
17013,BEGUR,"BAIX EMPORDÀ, EL         ",691807,292355,984162
25046,BELIANES,"URGELL, L'               ",19675,58176,77851
25170,BELLAGUARDA,"GARRIGUES, LES           ",7522,1922,9444
17018,BELLCAIRE D'EMPORDA,"BAIX EMPORDÀ, EL         ",59677,14692,74369
25047,BELLCAIRE D'URGELL,"NOGUERA, LA              ",58627,15740,74367
25048,BELL-LLOC D'URGELL,"PLA D'URGELL, EL         ",99996,502542,602538
43023,BELLMUNT DE PRIORAT,"PRIORAT, EL              ",23616,3660,27276
25049,BELLMUNT D'URGELL,"NOGUERA, LA              ",9913,7486,17399
08021,BELLPRAT,"ANOIA, L'                ",1255,0,1255
25050,BELLPUIG,"URGELL, L'               ",198844,194004,392848
43024,BELLVEI,"BAIX PENEDÈS, EL         ",120354,41578,161932
25051,BELLVER DE CERDANYA,"CERDANYA, LA             ",147472,98934,246406
25052,BELLVIS,"PLA D'URGELL, EL         ",71435,18839,90274
25053,BENAVENT DE SEGRIA,"SEGRIÀ, EL               ",70712,25609,96321
43025,BENIFALLET,"BAIX EBRE, EL            ",18696,2240,20936
43026,BENISSANET,"RIBERA D'EBRE, LA        ",35112,7819,42931
08022,BERGA,"BERGUEDÀ, EL             ",554493,270102,824595
17019,BESALU,"GARROTXA, LA             ",94296,47835,142131
17020,BESCANO,"GIRONÈS, EL     ",156878,71745,228623
17021,BEUDA,"GARROTXA, LA             ",6419,58424,64843
08023,BIGUES I RIELLS,"VALLÈS ORIENTAL, EL      ",455217,69894,525111
25055,BIOSCA,"SEGARRA, LA              ",7312,5336,12648
43027,"BISBAL DE FALSET, LA","PRIORAT, EL              ",8244,1181,9425
43028,"BISBAL DEL PENEDES, LA","BAIX PENEDÈS, EL         ",242141,102796,344937
17022,"BISBAL D'EMPORDA, LA","BAIX EMPORDÀ, EL         ",400189,131304,531493
17234,BIURE,"ALT EMPORDÀ, L'          ",12538,300,12838
43029,BLANCAFORT,"CONCA DE BARBERÀ, LA     ",12586,5827,18413
17023,BLANES,"SELVA, LA                ",1822754,969220,2791974
17029,BOADELLA I LES ESCAULES,"ALT EMPORDÀ, L'          ",8010,3473,11483
17024,BOLVIR,"CERDANYA, LA             ",38965,459310,498275
43030,BONASTRE,"BAIX PENEDÈS, EL         ",41211,627,41838
25057,"BORDES, ES","VAL D'ARAN, LA           ",26235,516,26751
17025,BORDILS,"GIRONÈS, EL     ",78564,36571,115135
25058,"BORGES BLANQUES, LES","GARRIGUES, LES           ",221726,440332,662058
43031,"BORGES DEL CAMP, LES","BAIX CAMP, EL            ",69720,26274,95994
17026,BORRASSA,"ALT EMPORDÀ, L'          ",25516,541,26057
08024,BORREDA,"BERGUEDÀ, EL             ",15086,21371,36457
25059,BOSSOST,"VAL D'ARAN, LA           ",74784,9081,83865
43032,BOT,TERRA ALTA               ,18580,16662,35242
43033,BOTARELL,"BAIX CAMP, EL            ",53062,22767,75829
25056,BOVERA,"GARRIGUES, LES           ",10074,4364,14438
43034,BRAFIM,"ALT CAMP, L'             ",33001,12968,45969
